# ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.8140  15.3076   0.2425   1.0011  0.23921E+05  0.23907E+05  0.14305E+02  0.25070E+05  0.19300E+00  0.40551E+03  0.24664E+05  0.10000E+01
    5.0140   2.8140  15.9455   0.2630   1.0858  0.19695E+05  0.19689E+05  0.59633E+01  0.20446E+05  0.77552E-01  0.31174E+03  0.20134E+05  0.10000E+01
    5.0140   2.8140  16.5595   0.2835   1.1704  0.16302E+05  0.16301E+05  0.65281E+00  0.16775E+05  0.31460E-01  0.24321E+03  0.16532E+05  0.10000E+01
    5.0140   2.8140  17.1521   0.3040   1.2550  0.13547E+05  0.13549E+05 -0.19521E+01  0.13827E+05  0.12836E-01  0.19433E+03  0.13633E+05  0.10000E+01
    5.0140   2.8140  17.7255   0.3245   1.3397  0.11288E+05  0.11291E+05 -0.30429E+01  0.11435E+05  0.52509E-02  0.15727E+03  0.11278E+05  0.10000E+01
    5.0140   2.8140  18.2815   0.3450   1.4243  0.94242E+04  0.94274E+04 -0.31286E+01  0.94797E+04  0.21482E-02  0.12853E+03  0.93512E+04  0.10000E+01
    5.0140   2.8140  18.8216   0.3655   1.5089  0.78823E+04  0.78848E+04 -0.25161E+01  0.78756E+04  0.87712E-03  0.10601E+03  0.77696E+04  0.10000E+01
    5.0140   2.8140  19.3472   0.3860   1.5936  0.65978E+04  0.65993E+04 -0.14396E+01  0.65512E+04  0.35675E-03  0.88157E+02  0.64631E+04  0.10000E+01
    5.0140   2.8140  19.8594   0.4065   1.6782  0.55296E+04  0.55297E+04 -0.76588E-01  0.54575E+04  0.14434E-03  0.73930E+02  0.53836E+04  0.10000E+01
    5.0140   2.8140  20.3592   0.4270   1.7628  0.46386E+04  0.46368E+04  0.17734E+01  0.45526E+04  0.58027E-04  0.63916E+02  0.44887E+04  0.10000E+01
    5.0140   2.8140  20.8475   0.4475   1.8475  0.38944E+04  0.38907E+04  0.37214E+01  0.38019E+04  0.23152E-04  0.56173E+02  0.37457E+04  0.10000E+01
    5.0140   2.8140  21.3251   0.4680   1.9321  0.32701E+04  0.32644E+04  0.56649E+01  0.31763E+04  0.91596E-05  0.50109E+02  0.31262E+04  0.10000E+01
    5.0140   2.8140  21.7927   0.4885   2.0167  0.27465E+04  0.27389E+04  0.75440E+01  0.26547E+04  0.35908E-05  0.45329E+02  0.26093E+04  0.10000E+01
    5.0140   2.8140  22.2510   0.5090   2.1013  0.23065E+04  0.22971E+04  0.93174E+01  0.22189E+04  0.13938E-05  0.41539E+02  0.21773E+04  0.10000E+01
    5.0140   2.8140  22.7005   0.5295   2.1860  0.19363E+04  0.19253E+04  0.10958E+02  0.18542E+04  0.53544E-06  0.38479E+02  0.18158E+04  0.10000E+01
    5.0140   2.8140  23.1417   0.5500   2.2706  0.16228E+04  0.16103E+04  0.12448E+02  0.15475E+04  0.20350E-06  0.35985E+02  0.15115E+04  0.10000E+01
    5.0140   2.5640  16.1978   0.2220   1.0206  0.18262E+05  0.18248E+05  0.14346E+02  0.19588E+05  0.37707E+00  0.34360E+03  0.19244E+05  0.10000E+01
    5.0140   2.5640  16.9345   0.2425   1.1149  0.14879E+05  0.14871E+05  0.80147E+01  0.15796E+05  0.14750E+00  0.25950E+03  0.15537E+05  0.10000E+01
    5.0140   2.5640  17.6412   0.2630   1.2091  0.12215E+05  0.12211E+05  0.36814E+01  0.12843E+05  0.58511E-01  0.19888E+03  0.12644E+05  0.10000E+01
    5.0140   2.5640  18.3215   0.2835   1.3034  0.10082E+05  0.10081E+05  0.87719E+00  0.10506E+05  0.23422E-01  0.15451E+03  0.10351E+05  0.10000E+01
    5.0140   2.5640  18.9783   0.3040   1.3976  0.83539E+04  0.83545E+04 -0.60246E+00  0.86328E+04  0.94246E-02  0.12227E+03  0.85106E+04  0.10000E+01
    5.0140   2.5640  19.6139   0.3245   1.4919  0.69427E+04  0.69439E+04 -0.12240E+01  0.71193E+04  0.38005E-02  0.98180E+02  0.70211E+04  0.10000E+01
    5.0140   2.5640  20.2303   0.3450   1.5862  0.57817E+04  0.57831E+04 -0.13700E+01  0.58862E+04  0.15319E-02  0.79582E+02  0.58066E+04  0.10000E+01
    5.0140   2.5640  20.8291   0.3655   1.6804  0.48226E+04  0.48238E+04 -0.11845E+01  0.48767E+04  0.61600E-03  0.65068E+02  0.48116E+04  0.10000E+01
    5.0140   2.5640  21.4120   0.3860   1.7746  0.40274E+04  0.40282E+04 -0.77730E+00  0.40466E+04  0.24657E-03  0.53572E+02  0.39930E+04  0.10000E+01
