                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.8140  15.3076  0.23921E+05  0.25070E+05  0.19300E+00  0.24664E+05  0.25070E+05  0.19300E+00  0.24664E+05
    5.0140   2.8140  15.9455  0.19695E+05  0.20446E+05  0.77552E-01  0.20134E+05  0.20446E+05  0.77552E-01  0.20134E+05
    5.0140   2.8140  16.5595  0.16302E+05  0.16775E+05  0.31460E-01  0.16532E+05  0.16775E+05  0.31460E-01  0.16532E+05
    5.0140   2.8140  17.1521  0.13547E+05  0.13827E+05  0.12836E-01  0.13633E+05  0.13827E+05  0.12836E-01  0.13633E+05
    5.0140   2.8140  17.7255  0.11288E+05  0.11435E+05  0.52509E-02  0.11278E+05  0.11435E+05  0.52509E-02  0.11278E+05
    5.0140   2.8140  18.2815  0.94242E+04  0.94797E+04  0.21482E-02  0.93512E+04  0.94797E+04  0.21482E-02  0.93512E+04
    5.0140   2.8140  18.8216  0.78823E+04  0.78756E+04  0.87712E-03  0.77696E+04  0.78756E+04  0.87712E-03  0.77696E+04
    5.0140   2.8140  19.3472  0.65978E+04  0.65512E+04  0.35675E-03  0.64631E+04  0.65512E+04  0.35675E-03  0.64631E+04
    5.0140   2.8140  19.8594  0.55296E+04  0.54575E+04  0.14434E-03  0.53836E+04  0.54575E+04  0.14434E-03  0.53836E+04
    5.0140   2.8140  20.3592  0.46386E+04  0.45526E+04  0.58027E-04  0.44887E+04  0.45526E+04  0.58027E-04  0.44887E+04
    5.0140   2.8140  20.8475  0.38944E+04  0.38019E+04  0.23152E-04  0.37457E+04  0.38019E+04  0.23152E-04  0.37457E+04
    5.0140   2.8140  21.3251  0.32701E+04  0.31763E+04  0.91596E-05  0.31262E+04  0.31763E+04  0.91596E-05  0.31262E+04
    5.0140   2.8140  21.7927  0.27465E+04  0.26547E+04  0.35908E-05  0.26093E+04  0.26547E+04  0.35908E-05  0.26093E+04
    5.0140   2.8140  22.2510  0.23065E+04  0.22189E+04  0.13938E-05  0.21773E+04  0.22189E+04  0.13938E-05  0.21773E+04
    5.0140   2.8140  22.7005  0.19363E+04  0.18542E+04  0.53544E-06  0.18158E+04  0.18542E+04  0.53544E-06  0.18158E+04
    5.0140   2.8140  23.1417  0.16228E+04  0.15475E+04  0.20350E-06  0.15115E+04  0.15475E+04  0.20350E-06  0.15115E+04
    5.0140   2.5640  16.1978  0.18262E+05  0.19588E+05  0.37707E+00  0.19244E+05  0.19588E+05  0.37707E+00  0.19244E+05
    5.0140   2.5640  16.9345  0.14879E+05  0.15796E+05  0.14750E+00  0.15537E+05  0.15796E+05  0.14750E+00  0.15537E+05
    5.0140   2.5640  17.6412  0.12215E+05  0.12843E+05  0.58511E-01  0.12644E+05  0.12843E+05  0.58511E-01  0.12644E+05
