# ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.8140  15.3076   0.2425   1.0011  0.18672E+03  0.18670E+03  0.25356E-01  0.19903E+03  0.38300E-01  0.52839E+01  0.19371E+03  0.10000E+01
    5.0140   2.8140  15.9455   0.2630   1.0858  0.15425E+03  0.15423E+03  0.24277E-01  0.16303E+03  0.24296E-01  0.40715E+01  0.15894E+03  0.10000E+01
    5.0140   2.8140  16.5595   0.2835   1.1704  0.12849E+03  0.12847E+03  0.23318E-01  0.13472E+03  0.15755E-01  0.31790E+01  0.13153E+03  0.10000E+01
    5.0140   2.8140  17.1521   0.3040   1.2550  0.10778E+03  0.10776E+03  0.22269E-01  0.11215E+03  0.10422E-01  0.25182E+01  0.10962E+03  0.10000E+01
    5.0140   2.8140  17.7255   0.3245   1.3397  0.91025E+02  0.91003E+02  0.21740E-01  0.94004E+02  0.69813E-02  0.20161E+01  0.91981E+02  0.10000E+01
    5.0140   2.8140  18.2815   0.3450   1.4243  0.77372E+02  0.77352E+02  0.20795E-01  0.79268E+02  0.47235E-02  0.16307E+01  0.77633E+02  0.10000E+01
    5.0140   2.8140  18.8216   0.3655   1.5089  0.65546E+02  0.65526E+02  0.19955E-01  0.66750E+02  0.32298E-02  0.13304E+01  0.65416E+02  0.10000E+01
    5.0140   2.8140  19.3472   0.3860   1.5936  0.55715E+02  0.55696E+02  0.19432E-01  0.56436E+02  0.22296E-02  0.10962E+01  0.55338E+02  0.10000E+01
    5.0140   2.8140  19.8594   0.4065   1.6782  0.47619E+02  0.47600E+02  0.18587E-01  0.47970E+02  0.15598E-02  0.90919E+00  0.47059E+02  0.10000E+01
    5.0140   2.8140  20.3592   0.4270   1.7628  0.41021E+02  0.41003E+02  0.18267E-01  0.41061E+02  0.11048E-02  0.76051E+00  0.40300E+02  0.10000E+01
    5.0140   2.8140  20.8475   0.4475   1.8475  0.35677E+02  0.35659E+02  0.17638E-01  0.35423E+02  0.79249E-03  0.64008E+00  0.34782E+02  0.10000E+01
    5.0140   2.8140  21.3251   0.4680   1.9321  0.31220E+02  0.31203E+02  0.17131E-01  0.30704E+02  0.57410E-03  0.54266E+00  0.30161E+02  0.10000E+01
    5.0140   2.8140  21.7927   0.4885   2.0167  0.27403E+02  0.27386E+02  0.16803E-01  0.26661E+02  0.41707E-03  0.46355E+00  0.26197E+02  0.10000E+01
    5.0140   2.8140  22.2510   0.5090   2.1013  0.23963E+02  0.23947E+02  0.16545E-01  0.23055E+02  0.30136E-03  0.39828E+00  0.22657E+02  0.10000E+01
    5.0140   2.8140  22.7005   0.5295   2.1860  0.20599E+02  0.20582E+02  0.16531E-01  0.19637E+02  0.21914E-03  0.34446E+00  0.19292E+02  0.10000E+01
    5.0140   2.8140  23.1417   0.5500   2.2706  0.17096E+02  0.17079E+02  0.16421E-01  0.16264E+02  0.16095E-03  0.30011E+00  0.15964E+02  0.10000E+01
    5.0140   2.5640  16.1978   0.2220   1.0206  0.14435E+03  0.14434E+03  0.11964E-01  0.15727E+03  0.46775E-01  0.45226E+01  0.15270E+03  0.10000E+01
    5.0140   2.5640  16.9345   0.2425   1.1149  0.11894E+03  0.11893E+03  0.11488E-01  0.12809E+03  0.28776E-01  0.33972E+01  0.12466E+03  0.10000E+01
    5.0140   2.5640  17.6412   0.2630   1.2091  0.98713E+02  0.98702E+02  0.10993E-01  0.10515E+03  0.18156E-01  0.26003E+01  0.10253E+03  0.10000E+01
    5.0140   2.5640  18.3215   0.2835   1.3034  0.81811E+02  0.81800E+02  0.10503E-01  0.86454E+02  0.11720E-01  0.20158E+01  0.84427E+02  0.10000E+01
    5.0140   2.5640  18.9783   0.3040   1.3976  0.68178E+02  0.68168E+02  0.10121E-01  0.71544E+02  0.76929E-02  0.15864E+01  0.69950E+02  0.10000E+01
    5.0140   2.5640  19.6139   0.3245   1.4919  0.57234E+02  0.57224E+02  0.97028E-02  0.59636E+02  0.51109E-02  0.12600E+01  0.58370E+02  0.10000E+01
    5.0140   2.5640  20.2303   0.3450   1.5862  0.48315E+02  0.48306E+02  0.93182E-02  0.49993E+02  0.34306E-02  0.10111E+01  0.48978E+02  0.10000E+01
    5.0140   2.5640  20.8291   0.3655   1.6804  0.41012E+02  0.41003E+02  0.89126E-02  0.42134E+02  0.23278E-02  0.81846E+00  0.41313E+02  0.10000E+01
    5.0140   2.5640  21.4120   0.3860   1.7746  0.34959E+02  0.34950E+02  0.86577E-02  0.35641E+02  0.15967E-02  0.66763E+00  0.34972E+02  0.10000E+01
    5.0140   2.5640  21.9801   0.4065   1.8689  0.29559E+02  0.29551E+02  0.83155E-02  0.29993E+02  0.11085E-02  0.54926E+00  0.29443E+02  0.10000E+01
    5.0140   2.5640  22.5346   0.4270   1.9631  0.25128E+02  0.25120E+02  0.81218E-02  0.25374E+02  0.77948E-03  0.45482E+00  0.24919E+02  0.10000E+01
    5.0140   2.5640  23.0765   0.4475   2.0574  0.21477E+02  0.21469E+02  0.77974E-02  0.21569E+02  0.55443E-03  0.37946E+00  0.21189E+02  0.10000E+01
    5.0140   2.5640  23.6065   0.4680   2.1516  0.18396E+02  0.18389E+02  0.75973E-02  0.18384E+02  0.39725E-03  0.31804E+00  0.18065E+02  0.10000E+01
    5.0140   2.5640  24.1256   0.4885   2.2459  0.15902E+02  0.15895E+02  0.74798E-02  0.15787E+02  0.28360E-03  0.26863E+00  0.15518E+02  0.10000E+01
    5.0140   2.5640  24.6344   0.5090   2.3401  0.13871E+02  0.13864E+02  0.73112E-02  0.13654E+02  0.20302E-03  0.22837E+00  0.13426E+02  0.10000E+01
    5.0140   2.5640  25.1336   0.5295   2.4344  0.12190E+02  0.12183E+02  0.72680E-02  0.11870E+02  0.14648E-03  0.19532E+00  0.11674E+02  0.10000E+01
    5.0140   2.5640  25.6236   0.5500   2.5286  0.10669E+02  0.10662E+02  0.72242E-02  0.10265E+02  0.10687E-03  0.16798E+00  0.10097E+02  0.10000E+01
    5.0140   2.3540  16.7857   0.2015   1.0058  0.12395E+03  0.12394E+03  0.66424E-02  0.13793E+03  0.64294E-01  0.44949E+01  0.13337E+03  0.10000E+01
    5.0140   2.3540  17.6253   0.2220   1.1081  0.10042E+03  0.10041E+03  0.64177E-02  0.11046E+03  0.38371E-01  0.33072E+01  0.10712E+03  0.10000E+01
    5.0140   2.3540  18.4279   0.2425   1.2105  0.82240E+02  0.82234E+02  0.61415E-02  0.89511E+02  0.23526E-01  0.24771E+01  0.87010E+02  0.10000E+01
    5.0140   2.3540  19.1981   0.2630   1.3128  0.68019E+02  0.68013E+02  0.58429E-02  0.73290E+02  0.14783E-01  0.18851E+01  0.71390E+02  0.10000E+01
    5.0140   2.3540  19.9396   0.2835   1.4151  0.56810E+02  0.56804E+02  0.55757E-02  0.60588E+02  0.94968E-02  0.14582E+01  0.59121E+02  0.10000E+01
    5.0140   2.3540  20.6556   0.3040   1.5174  0.47550E+02  0.47545E+02  0.53270E-02  0.50241E+02  0.61996E-02  0.11383E+01  0.49097E+02  0.10000E+01
    5.0140   2.3540  21.3486   0.3245   1.6198  0.39681E+02  0.39676E+02  0.51622E-02  0.41652E+02  0.40966E-02  0.89982E+00  0.40748E+02  0.10000E+01
    5.0140   2.3540  22.0208   0.3450   1.7221  0.33312E+02  0.33307E+02  0.49500E-02  0.34743E+02  0.27353E-02  0.71685E+00  0.34023E+02  0.10000E+01
    5.0140   2.3540  22.6740   0.3655   1.8244  0.28128E+02  0.28123E+02  0.47437E-02  0.29144E+02  0.18458E-02  0.57750E+00  0.28565E+02  0.10000E+01
    5.0140   2.3540  23.3099   0.3860   1.9268  0.23865E+02  0.23860E+02  0.45938E-02  0.24561E+02  0.12590E-02  0.46780E+00  0.24092E+02  0.10000E+01
    5.0140   2.3540  23.9298   0.4065   2.0291  0.20355E+02  0.20351E+02  0.43960E-02  0.20792E+02  0.86959E-03  0.38214E+00  0.20409E+02  0.10000E+01
    5.0140   2.3540  24.5349   0.4270   2.1314  0.17247E+02  0.17242E+02  0.42220E-02  0.17517E+02  0.60778E-03  0.31390E+00  0.17203E+02  0.10000E+01
    5.0140   2.3540  25.1263   0.4475   2.2337  0.14582E+02  0.14578E+02  0.41359E-02  0.14754E+02  0.42967E-03  0.25989E+00  0.14493E+02  0.10000E+01
    5.0140   2.3540  25.7050   0.4680   2.3361  0.12442E+02  0.12438E+02  0.39795E-02  0.12520E+02  0.30577E-03  0.21617E+00  0.12303E+02  0.10000E+01
    5.0140   2.3540  26.2718   0.4885   2.4384  0.10612E+02  0.10608E+02  0.38830E-02  0.10628E+02  0.21654E-03  0.18093E+00  0.10447E+02  0.10000E+01
    5.0140   2.3540  26.8275   0.5090   2.5407  0.90958E+01  0.90920E+01  0.38295E-02  0.90625E+01  0.15411E-03  0.15240E+00  0.89100E+01  0.10000E+01
    5.0140   2.3540  27.3727   0.5295   2.6430  0.78675E+01  0.78638E+01  0.37626E-02  0.77852E+01  0.11062E-03  0.12915E+00  0.76559E+01  0.10000E+01
    5.0140   2.3540  27.9081   0.5500   2.7454  0.68763E+01  0.68726E+01  0.37562E-02  0.67387E+01  0.80300E-04  0.11005E+00  0.66285E+01  0.10000E+01
    5.0140   2.1940  17.9111   0.2015   1.0663  0.95118E+02  0.95113E+02  0.42221E-02  0.10670E+03  0.56521E-01  0.36514E+01  0.10299E+03  0.10000E+01
