                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.8140  15.3076  0.18672E+03  0.19903E+03  0.38300E-01  0.19371E+03  0.19903E+03  0.38300E-01  0.19371E+03
    5.0140   2.8140  15.9455  0.15425E+03  0.16303E+03  0.24296E-01  0.15894E+03  0.16303E+03  0.24296E-01  0.15894E+03
    5.0140   2.8140  16.5595  0.12849E+03  0.13472E+03  0.15755E-01  0.13153E+03  0.13472E+03  0.15755E-01  0.13153E+03
    5.0140   2.8140  17.1521  0.10778E+03  0.11215E+03  0.10422E-01  0.10962E+03  0.11215E+03  0.10422E-01  0.10962E+03
    5.0140   2.8140  17.7255  0.91025E+02  0.94004E+02  0.69813E-02  0.91981E+02  0.94004E+02  0.69813E-02  0.91981E+02
    5.0140   2.8140  18.2815  0.77372E+02  0.79268E+02  0.47235E-02  0.77633E+02  0.79268E+02  0.47235E-02  0.77633E+02
    5.0140   2.8140  18.8216  0.65546E+02  0.66750E+02  0.32298E-02  0.65416E+02  0.66750E+02  0.32298E-02  0.65416E+02
    5.0140   2.8140  19.3472  0.55715E+02  0.56436E+02  0.22296E-02  0.55338E+02  0.56436E+02  0.22296E-02  0.55338E+02
    5.0140   2.8140  19.8594  0.47619E+02  0.47970E+02  0.15598E-02  0.47059E+02  0.47970E+02  0.15598E-02  0.47059E+02
    5.0140   2.8140  20.3592  0.41021E+02  0.41061E+02  0.11048E-02  0.40300E+02  0.41061E+02  0.11048E-02  0.40300E+02
    5.0140   2.8140  20.8475  0.35677E+02  0.35423E+02  0.79249E-03  0.34782E+02  0.35423E+02  0.79249E-03  0.34782E+02
    5.0140   2.8140  21.3251  0.31220E+02  0.30704E+02  0.57410E-03  0.30161E+02  0.30704E+02  0.57410E-03  0.30161E+02
    5.0140   2.8140  21.7927  0.27403E+02  0.26661E+02  0.41707E-03  0.26197E+02  0.26661E+02  0.41707E-03  0.26197E+02
    5.0140   2.8140  22.2510  0.23963E+02  0.23055E+02  0.30136E-03  0.22657E+02  0.23055E+02  0.30136E-03  0.22657E+02
    5.0140   2.8140  22.7005  0.20599E+02  0.19637E+02  0.21914E-03  0.19292E+02  0.19637E+02  0.21914E-03  0.19292E+02
    5.0140   2.8140  23.1417  0.17096E+02  0.16264E+02  0.16095E-03  0.15964E+02  0.16264E+02  0.16095E-03  0.15964E+02
    5.0140   2.5640  16.1978  0.14435E+03  0.15727E+03  0.46775E-01  0.15270E+03  0.15727E+03  0.46775E-01  0.15270E+03
