 #***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.6640  16.0112   0.2350   1.0363  0.96056E+03  0.95980E+03  0.75202E+00  0.10313E+04  0.92547E-01  0.21788E+02  0.10094E+04  0.10006E+01
    5.0140   2.6640  16.3506   0.2450   1.0804  0.87380E+03  0.87325E+03  0.54723E+00  0.93332E+03  0.61931E-01  0.19043E+02  0.91421E+03  0.10007E+01
    5.0140   2.6640  16.6833   0.2550   1.1245  0.79631E+03  0.79594E+03  0.37768E+00  0.84633E+03  0.41234E-01  0.16701E+02  0.82959E+03  0.10008E+01
    5.0140   2.6640  17.0096   0.2650   1.1686  0.72688E+03  0.72664E+03  0.23916E+00  0.76883E+03  0.27312E-01  0.14698E+02  0.75411E+03  0.10009E+01
    5.0140   2.6640  17.3300   0.2750   1.2127  0.66443E+03  0.66430E+03  0.12775E+00  0.69954E+03  0.18000E-01  0.12978E+02  0.68654E+03  0.10010E+01
    5.0140   2.6640  17.8001   0.2900   1.2789  0.58203E+03  0.58203E+03  0.40600E-02  0.60874E+03  0.95696E-02  0.10838E+02  0.59789E+03  0.10012E+01
    5.0140   2.6640  18.5580   0.3150   1.3891  0.46923E+03  0.46932E+03 -0.88219E-01  0.48577E+03  0.33842E-02  0.82391E+01  0.47753E+03  0.10014E+01
    5.0140   2.6640  19.4298   0.3450   1.5214  0.36471E+03  0.36483E+03 -0.11293E+00  0.37332E+03  0.11640E-02  0.60480E+01  0.36727E+03  0.10017E+01
    5.0140   2.6640  20.2655   0.3750   1.6537  0.28502E+03  0.28510E+03 -0.80501E-01  0.28869E+03  0.60232E-03  0.45276E+01  0.28416E+03  0.10020E+01
    5.0140   2.6640  21.2006   0.4100   1.8080  0.21480E+03  0.21480E+03 -0.43801E-02  0.21507E+03  0.39120E-03  0.33052E+01  0.21176E+03  0.10024E+01
    5.0140   2.6640  22.3480   0.4550   2.0065  0.15004E+03  0.14989E+03  0.14809E+00  0.14821E+03  0.22559E-03  0.23981E+01  0.14581E+03  0.10030E+01
    5.0140   2.6640  23.9130   0.5200   2.2931  0.89485E+02  0.89121E+02  0.36443E+00  0.86815E+02  0.75467E-04  0.16996E+01  0.85115E+02  0.10039E+01
    5.0140   2.4590  16.6253   0.2150   1.0308  0.81157E+03  0.81079E+03  0.77632E+00  0.88944E+03  0.16913E+00  0.20620E+02  0.86865E+03  0.10006E+01
    5.0140   2.4590  17.0103   0.2250   1.0788  0.73440E+03  0.73380E+03  0.60638E+00  0.80030E+03  0.11354E+00  0.17867E+02  0.78231E+03  0.10007E+01
    5.0140   2.4590  17.3871   0.2350   1.1267  0.66607E+03  0.66560E+03  0.46265E+00  0.72188E+03  0.75900E-01  0.15542E+02  0.70626E+03  0.10008E+01
    5.0140   2.4590  17.7561   0.2450   1.1747  0.60532E+03  0.60497E+03  0.34216E+00  0.65260E+03  0.50498E-01  0.13569E+02  0.63898E+03  0.10008E+01
