 #***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.6640  16.0112   0.2350   1.0363  0.46387E+04  0.46351E+04  0.36028E+01  0.49559E+04  0.10180E+00  0.98319E+02  0.48575E+04  0.10000E+01
    5.0140   2.6640  16.3506   0.2450   1.0804  0.42148E+04  0.42122E+04  0.26209E+01  0.44802E+04  0.82187E-01  0.85961E+02  0.43941E+04  0.10000E+01
    5.0140   2.6640  16.6833   0.2550   1.1245  0.38362E+04  0.38344E+04  0.18084E+01  0.40576E+04  0.64867E-01  0.75418E+02  0.39822E+04  0.10000E+01
    5.0140   2.6640  17.0096   0.2650   1.1686  0.34966E+04  0.34955E+04  0.11448E+01  0.36811E+04  0.49877E-01  0.66395E+02  0.36147E+04  0.10000E+01
    5.0140   2.6640  17.3300   0.2750   1.2127  0.31916E+04  0.31910E+04  0.61135E+00  0.33447E+04  0.37301E-01  0.58643E+02  0.32860E+04  0.10000E+01
    5.0140   2.6640  17.8001   0.2900   1.2789  0.27894E+04  0.27893E+04  0.19421E-01  0.29039E+04  0.22871E-01  0.48997E+02  0.28549E+04  0.10000E+01
    5.0140   2.6640  18.5580   0.3150   1.3891  0.22385E+04  0.22390E+04 -0.42122E+00  0.23072E+04  0.87718E-02  0.37291E+02  0.22699E+04  0.10000E+01
    5.0140   2.6640  19.4298   0.3450   1.5214  0.17291E+04  0.17296E+04 -0.53866E+00  0.17625E+04  0.22569E-02  0.27420E+02  0.17351E+04  0.10000E+01
    5.0140   2.6640  20.2655   0.3750   1.6537  0.13414E+04  0.13418E+04 -0.38353E+00  0.13536E+04  0.60898E-03  0.20554E+02  0.13330E+04  0.10000E+01
    5.0140   2.6640  21.2006   0.4100   1.8080  0.10018E+04  0.10018E+04 -0.20836E-01  0.99971E+03  0.28252E-03  0.14991E+02  0.98472E+03  0.10000E+01
    5.0140   2.6640  22.3480   0.4550   2.0065  0.69120E+03  0.69049E+03  0.70322E+00  0.68100E+03  0.12458E-03  0.10892E+02  0.67010E+03  0.10000E+01
    5.0140   2.6640  23.9130   0.5200   2.2931  0.40540E+03  0.40368E+03  0.17220E+01  0.39272E+03  0.43508E-06  0.77456E+01  0.38497E+03  0.10000E+01
    5.0140   2.4590  16.6253   0.2150   1.0308  0.39160E+04  0.39122E+04  0.37239E+01  0.42716E+04  0.12926E+00  0.92999E+02  0.41784E+04  0.10000E+01
    5.0140   2.4590  17.0103   0.2250   1.0788  0.35393E+04  0.35364E+04  0.29079E+01  0.38393E+04  0.10556E+00  0.80635E+02  0.37586E+04  0.10000E+01
    5.0140   2.4590  17.3871   0.2350   1.1267  0.32059E+04  0.32037E+04  0.22179E+01  0.34591E+04  0.86039E-01  0.70179E+02  0.33888E+04  0.10000E+01
    5.0140   2.4590  17.7561   0.2450   1.1747  0.29098E+04  0.29082E+04  0.16398E+01  0.31233E+04  0.68973E-01  0.61293E+02  0.30619E+04  0.10000E+01
    5.0140   2.4590  18.1178   0.2550   1.2226  0.26458E+04  0.26446E+04  0.11600E+01  0.28257E+04  0.53996E-01  0.53723E+02  0.27719E+04  0.10000E+01
    5.0140   2.4590  18.4727   0.2650   1.2706  0.24094E+04  0.24086E+04  0.76656E+00  0.25608E+04  0.41148E-01  0.47244E+02  0.25135E+04  0.10000E+01
    5.0140   2.4590  18.8212   0.2750   1.3185  0.21970E+04  0.21966E+04  0.44850E+00  0.23243E+04  0.30482E-01  0.41667E+02  0.22826E+04  0.10000E+01
    5.0140   2.4590  19.3324   0.2900   1.3904  0.19174E+04  0.19173E+04  0.91911E-01  0.20150E+04  0.18415E-01  0.34723E+02  0.19802E+04  0.10000E+01
    5.0140   2.4590  20.1569   0.3150   1.5103  0.15350E+04  0.15352E+04 -0.18820E+00  0.15966E+04  0.68808E-02  0.26204E+02  0.15704E+04  0.10000E+01
    5.0140   2.4590  21.1054   0.3450   1.6541  0.11820E+04  0.11823E+04 -0.27523E+00  0.12158E+04  0.17283E-02  0.19094E+02  0.11967E+04  0.10000E+01
    5.0140   2.4590  22.0149   0.3750   1.7980  0.91414E+03  0.91435E+03 -0.21309E+00  0.93071E+03  0.47814E-03  0.14171E+02  0.91654E+03  0.10000E+01
    5.0140   2.4590  23.0327   0.4100   1.9658  0.68017E+03  0.68021E+03 -0.40250E-01  0.68488E+03  0.23027E-03  0.10192E+02  0.67469E+03  0.10000E+01
    5.0140   2.4590  24.2821   0.4550   2.1815  0.46711E+03  0.46678E+03  0.32801E+00  0.46434E+03  0.94298E-04  0.71487E+01  0.45719E+03  0.10000E+01
    5.0140   2.4590  25.9870   0.5200   2.4932  0.27249E+03  0.27162E+03  0.87189E+00  0.26626E+03  0.29745E-06  0.48178E+01  0.26144E+03  0.10000E+01
    5.0140   2.2740  17.0534   0.1950   1.0026  0.35109E+04  0.35072E+04  0.36980E+01  0.39147E+04  0.18885E+00  0.96082E+02  0.38185E+04  0.10000E+01
    5.0140   2.2740  17.4885   0.2050   1.0540  0.31538E+04  0.31508E+04  0.29942E+01  0.34950E+04  0.14202E+00  0.82559E+02  0.34123E+04  0.10000E+01
    5.0140   2.2740  17.9134   0.2150   1.1055  0.28410E+04  0.28386E+04  0.23908E+01  0.31298E+04  0.11330E+00  0.71253E+02  0.30584E+04  0.10000E+01
    5.0140   2.2740  18.3288   0.2250   1.1569  0.25658E+04  0.25639E+04  0.18770E+01  0.28104E+04  0.92304E-01  0.61748E+02  0.27486E+04  0.10000E+01
    5.0140   2.2740  18.7353   0.2350   1.2083  0.23224E+04  0.23209E+04  0.14425E+01  0.25299E+04  0.74872E-01  0.53713E+02  0.24761E+04  0.10000E+01
    5.0140   2.2740  19.1334   0.2450   1.2597  0.21063E+04  0.21053E+04  0.10781E+01  0.22825E+04  0.59649E-01  0.46891E+02  0.22355E+04  0.10000E+01
    5.0140   2.2740  19.5237   0.2550   1.3111  0.19137E+04  0.19129E+04  0.77523E+00  0.20631E+04  0.46366E-01  0.41072E+02  0.20220E+04  0.10000E+01
    5.0140   2.2740  19.9067   0.2650   1.3626  0.17414E+04  0.17409E+04  0.52625E+00  0.18682E+04  0.35062E-01  0.36085E+02  0.18321E+04  0.10000E+01
    5.0140   2.2740  20.2827   0.2750   1.4140  0.15868E+04  0.15865E+04  0.32432E+00  0.16942E+04  0.25767E-01  0.31804E+02  0.16624E+04  0.10000E+01
    5.0140   2.2740  20.8345   0.2900   1.4911  0.13833E+04  0.13832E+04  0.96265E-01  0.14669E+04  0.15370E-01  0.26460E+02  0.14404E+04  0.10000E+01
    5.0140   2.2740  21.7245   0.3150   1.6196  0.11054E+04  0.11055E+04 -0.90302E-01  0.11600E+04  0.56197E-02  0.19849E+02  0.11401E+04  0.10000E+01
    5.0140   2.2740  22.7486   0.3450   1.7739  0.84930E+03  0.84945E+03 -0.15108E+00  0.88109E+03  0.13865E-02  0.14365E+02  0.86673E+03  0.10000E+01
    5.0140   2.2740  23.7309   0.3750   1.9281  0.65528E+03  0.65540E+03 -0.12455E+00  0.67278E+03  0.39357E-03  0.10577E+02  0.66221E+03  0.10000E+01
    5.0140   2.2740  24.8305   0.4100   2.1081  0.48605E+03  0.48608E+03 -0.34552E-01  0.49353E+03  0.19406E-03  0.75269E+01  0.48600E+03  0.10000E+01
    5.0140   2.2740  26.1806   0.4550   2.3395  0.33261E+03  0.33244E+03  0.16913E+00  0.33334E+03  0.74234E-04  0.51371E+01  0.32821E+03  0.10000E+01
    5.0140   2.2740  28.0239   0.5200   2.6737  0.19293E+03  0.19244E+03  0.48510E+00  0.19005E+03  0.21684E-06  0.33026E+01  0.18675E+03  0.10000E+01
    5.0140   2.1240  17.6558   0.1850   1.0033  0.30433E+04  0.30401E+04  0.31571E+01  0.34472E+04  0.24860E+00  0.92771E+02  0.33542E+04  0.10000E+01
