 #***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.6640  16.0112   0.2350   1.0363  0.19313E+05  0.19300E+05  0.12768E+02  0.20470E+05  0.22983E+00  0.34022E+03  0.20130E+05  0.10000E+01
    5.0140   2.6640  16.3506   0.2450   1.0804  0.17514E+05  0.17505E+05  0.92887E+01  0.18473E+05  0.14619E+00  0.29769E+03  0.18175E+05  0.10000E+01
    5.0140   2.6640  16.6833   0.2550   1.1245  0.15908E+05  0.15902E+05  0.64090E+01  0.16701E+05  0.93273E-01  0.26133E+03  0.16440E+05  0.10000E+01
    5.0140   2.6640  17.0096   0.2650   1.1686  0.14472E+05  0.14468E+05  0.40572E+01  0.15124E+05  0.59674E-01  0.23021E+03  0.14894E+05  0.10000E+01
    5.0140   2.6640  17.3300   0.2750   1.2127  0.13181E+05  0.13179E+05  0.21666E+01  0.13715E+05  0.38254E-01  0.20346E+03  0.13511E+05  0.10000E+01
    5.0140   2.6640  17.8001   0.2900   1.2789  0.11479E+05  0.11479E+05  0.68819E-01  0.11869E+05  0.19693E-01  0.17014E+03  0.11699E+05  0.10000E+01
    5.0140   2.6640  18.5580   0.3150   1.3891  0.91545E+04  0.91560E+04 -0.14885E+01  0.93738E+04  0.65416E-02  0.12969E+03  0.92441E+04  0.10000E+01
    5.0140   2.6640  19.4298   0.3450   1.5214  0.70094E+04  0.70113E+04 -0.19029E+01  0.71015E+04  0.17457E-02  0.95512E+02  0.70060E+04  0.10000E+01
    5.0140   2.6640  20.2655   0.3750   1.6537  0.53846E+04  0.53860E+04 -0.13541E+01  0.54029E+04  0.46357E-03  0.71683E+02  0.53312E+04  0.10000E+01
    5.0140   2.6640  21.2006   0.4100   1.8080  0.39710E+04  0.39710E+04 -0.73500E-01  0.39432E+04  0.97362E-04  0.52311E+02  0.38909E+04  0.10000E+01
    5.0140   2.6640  22.3480   0.4550   2.0065  0.26945E+04  0.26920E+04  0.24814E+01  0.26439E+04  0.12691E-04  0.38051E+02  0.26058E+04  0.10000E+01
    5.0140   2.6640  23.9130   0.5200   2.2931  0.15440E+04  0.15379E+04  0.60585E+01  0.14913E+04  0.61766E-06  0.27070E+02  0.14643E+04  0.10000E+01
    5.0140   2.4590  16.6253   0.2150   1.0308  0.16208E+05  0.16195E+05  0.13212E+02  0.17548E+05  0.47315E+00  0.32137E+03  0.17227E+05  0.10000E+01
    5.0140   2.4590  17.0103   0.2250   1.0788  0.14618E+05  0.14608E+05  0.10317E+02  0.15745E+05  0.29711E+00  0.27888E+03  0.15466E+05  0.10000E+01
    5.0140   2.4590  17.3871   0.2350   1.1267  0.13214E+05  0.13206E+05  0.78692E+01  0.14160E+05  0.18737E+00  0.24292E+03  0.13917E+05  0.10000E+01
    5.0140   2.4590  17.7561   0.2450   1.1747  0.11969E+05  0.11963E+05  0.58177E+01  0.12762E+05  0.11861E+00  0.21232E+03  0.12550E+05  0.10000E+01
    5.0140   2.4590  18.1178   0.2550   1.2226  0.10860E+05  0.10855E+05  0.41154E+01  0.11524E+05  0.75312E-01  0.18624E+03  0.11338E+05  0.10000E+01
    5.0140   2.4590  18.4727   0.2650   1.2706  0.98678E+04  0.98651E+04  0.27192E+01  0.10423E+05  0.47939E-01  0.16390E+03  0.10259E+05  0.10000E+01
    5.0140   2.4590  18.8212   0.2750   1.3185  0.89781E+04  0.89766E+04  0.15908E+01  0.94412E+04  0.30575E-01  0.14464E+03  0.92965E+04  0.10000E+01
    5.0140   2.4590  19.3324   0.2900   1.3904  0.78078E+04  0.78075E+04  0.32593E+00  0.81579E+04  0.15620E-01  0.12065E+03  0.80372E+04  0.10000E+01
    5.0140   2.4590  20.1569   0.3150   1.5103  0.62109E+04  0.62115E+04 -0.66523E+00  0.64250E+04  0.51199E-02  0.91191E+02  0.63338E+04  0.10000E+01
    5.0140   2.4590  21.1054   0.3450   1.6541  0.47416E+04  0.47426E+04 -0.97235E+00  0.48523E+04  0.13437E-02  0.66558E+02  0.47857E+04  0.10000E+01
    5.0140   2.4590  22.0149   0.3750   1.7980  0.36326E+04  0.36333E+04 -0.75227E+00  0.36810E+04  0.35057E-03  0.49463E+02  0.36315E+04  0.10000E+01
    5.0140   2.4590  23.0327   0.4100   1.9658  0.26701E+04  0.26702E+04 -0.14194E+00  0.26773E+04  0.72054E-04  0.35586E+02  0.26417E+04  0.10000E+01
    5.0140   2.4590  24.2821   0.4550   2.1815  0.18044E+04  0.18032E+04  0.11571E+01  0.17874E+04  0.91128E-05  0.24986E+02  0.17624E+04  0.10000E+01
    5.0140   2.4590  25.9870   0.5200   2.4932  0.10286E+04  0.10255E+04  0.30660E+01  0.10027E+04  0.42247E-06  0.16841E+02  0.98584E+03  0.10000E+01
    5.0140   2.2740  17.0534   0.1950   1.0026  0.14469E+05  0.14456E+05  0.13134E+02  0.16012E+05  0.10460E+01  0.33135E+03  0.15680E+05  0.10000E+01
    5.0140   2.2740  17.4885   0.2050   1.0540  0.12966E+05  0.12955E+05  0.10634E+02  0.14267E+05  0.64700E+00  0.28501E+03  0.13981E+05  0.10000E+01
    5.0140   2.2740  17.9134   0.2150   1.1055  0.11653E+05  0.11644E+05  0.84912E+01  0.12751E+05  0.40260E+00  0.24622E+03  0.12504E+05  0.10000E+01
    5.0140   2.2740  18.3288   0.2250   1.1569  0.10499E+05  0.10492E+05  0.66658E+01  0.11427E+05  0.25180E+00  0.21357E+03  0.11213E+05  0.10000E+01
    5.0140   2.2740  18.7353   0.2350   1.2083  0.94813E+04  0.94761E+04  0.51223E+01  0.10266E+05  0.15816E+00  0.18595E+03  0.10080E+05  0.10000E+01
    5.0140   2.2740  19.1334   0.2450   1.2597  0.85795E+04  0.85757E+04  0.38279E+01  0.92428E+04  0.99717E-01  0.16246E+03  0.90802E+04  0.10000E+01
    5.0140   2.2740  19.5237   0.2550   1.3111  0.77773E+04  0.77745E+04  0.27522E+01  0.83378E+04  0.63057E-01  0.14240E+03  0.81954E+04  0.10000E+01
    5.0140   2.2740  19.9067   0.2650   1.3626  0.70606E+04  0.70587E+04  0.18680E+01  0.75338E+04  0.39970E-01  0.12522E+03  0.74086E+04  0.10000E+01
    5.0140   2.2740  20.2827   0.2750   1.4140  0.64187E+04  0.64175E+04  0.11510E+01  0.68176E+04  0.25387E-01  0.11044E+03  0.67071E+04  0.10000E+01
    5.0140   2.2740  20.8345   0.2900   1.4911  0.55752E+04  0.55748E+04  0.34153E+00  0.58828E+04  0.12885E-01  0.91976E+02  0.57908E+04  0.10000E+01
    5.0140   2.2740  21.7245   0.3150   1.6196  0.44264E+04  0.44267E+04 -0.31921E+00  0.46232E+04  0.41766E-02  0.69110E+02  0.45541E+04  0.10000E+01
    5.0140   2.2740  22.7486   0.3450   1.7739  0.33721E+04  0.33726E+04 -0.53368E+00  0.34832E+04  0.10809E-02  0.50102E+02  0.34331E+04  0.10000E+01
    5.0140   2.2740  23.7309   0.3750   1.9281  0.25775E+04  0.25779E+04 -0.43959E+00  0.26358E+04  0.27787E-03  0.36946E+02  0.25989E+04  0.10000E+01
    5.0140   2.2740  24.8305   0.4100   2.1081  0.18896E+04  0.18897E+04 -0.12181E+00  0.19119E+04  0.56077E-04  0.26299E+02  0.18856E+04  0.10000E+01
    5.0140   2.2740  26.1806   0.4550   2.3395  0.12729E+04  0.12723E+04  0.59645E+00  0.12720E+04  0.69175E-05  0.17962E+02  0.12541E+04  0.10000E+01
    5.0140   2.2740  28.0239   0.5200   2.6737  0.72193E+03  0.72023E+03  0.17050E+01  0.70980E+03  0.30812E-06  0.11546E+02  0.69825E+03  0.10000E+01
    5.0140   2.1240  17.6558   0.1850   1.0033  0.12488E+05  0.12477E+05  0.11223E+02  0.14037E+05  0.15203E+01  0.31950E+03  0.13716E+05  0.10000E+01
    5.0140   2.1240  18.1306   0.1950   1.0575  0.11147E+05  0.11138E+05  0.92040E+01  0.12453E+05  0.93121E+00  0.27347E+03  0.12179E+05  0.10000E+01
    5.0140   2.1240  18.5937   0.2050   1.1118  0.99822E+04  0.99748E+04  0.74643E+01  0.11087E+05  0.57432E+00  0.23520E+03  0.10851E+05  0.10000E+01
    5.0140   2.1240  19.0459   0.2150   1.1660  0.89652E+04  0.89593E+04  0.59742E+01  0.99010E+04  0.35633E+00  0.20317E+03  0.96975E+04  0.10000E+01
    5.0140   2.1240  19.4880   0.2250   1.2202  0.80728E+04  0.80681E+04  0.47059E+01  0.88666E+04  0.22220E+00  0.17621E+03  0.86902E+04  0.10000E+01
    5.0140   2.1240  19.9207   0.2350   1.2745  0.72857E+04  0.72821E+04  0.36336E+01  0.79598E+04  0.13914E+00  0.15340E+03  0.78062E+04  0.10000E+01
