 #***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.6640  16.0112   0.2350   1.0363  0.15311E+03  0.15310E+03  0.15757E-01  0.16464E+03  0.38107E-01  0.44499E+01  0.16015E+03  0.10000E+01
    5.0140   2.6640  16.3506   0.2450   1.0804  0.13937E+03  0.13935E+03  0.15383E-01  0.14909E+03  0.30273E-01  0.38888E+01  0.14517E+03  0.10000E+01
    5.0140   2.6640  16.6833   0.2550   1.1245  0.12683E+03  0.12681E+03  0.15155E-01  0.13506E+03  0.24176E-01  0.34132E+01  0.13162E+03  0.10000E+01
    5.0140   2.6640  17.0096   0.2650   1.1686  0.11547E+03  0.11546E+03  0.14801E-01  0.12250E+03  0.19399E-01  0.30054E+01  0.11947E+03  0.10000E+01
    5.0140   2.6640  17.3300   0.2750   1.2127  0.10533E+03  0.10532E+03  0.14656E-01  0.11133E+03  0.15650E-01  0.26564E+01  0.10865E+03  0.10000E+01
    5.0140   2.6640  17.8001   0.2900   1.2789  0.92124E+02  0.92110E+02  0.14164E-01  0.96832E+02  0.11462E-01  0.22237E+01  0.94597E+02  0.10000E+01
    5.0140   2.6640  18.5580   0.3150   1.3891  0.74313E+02  0.74300E+02  0.13489E-01  0.77409E+02  0.69332E-02  0.16700E+01  0.75732E+02  0.10000E+01
    5.0140   2.6640  19.4298   0.3450   1.5214  0.58084E+02  0.58072E+02  0.12827E-01  0.59875E+02  0.38700E-02  0.12139E+01  0.58657E+02  0.10000E+01
    5.0140   2.6640  20.2655   0.3750   1.6537  0.45867E+02  0.45855E+02  0.12020E-01  0.46762E+02  0.22104E-02  0.89646E+00  0.45864E+02  0.10000E+01
    5.0140   2.6640  21.2006   0.4100   1.8080  0.34613E+02  0.34602E+02  0.11284E-01  0.34996E+02  0.11869E-02  0.64480E+00  0.34350E+02  0.10000E+01
    5.0140   2.6640  22.3480   0.4550   2.0065  0.24668E+02  0.24658E+02  0.10658E-01  0.24638E+02  0.56224E-03  0.43371E+00  0.24204E+02  0.10000E+01
    5.0140   2.6640  23.9130   0.5200   2.2931  0.16077E+02  0.16067E+02  0.99771E-02  0.15595E+02  0.19773E-03  0.26006E+00  0.15335E+02  0.10000E+01
    5.0140   2.4590  16.6253   0.2150   1.0308  0.12879E+03  0.12878E+03  0.88317E-02  0.14154E+03  0.50161E-01  0.42581E+01  0.13723E+03  0.10000E+01
    5.0140   2.4590  17.0103   0.2250   1.0788  0.11659E+03  0.11658E+03  0.86773E-02  0.12743E+03  0.39214E-01  0.36814E+01  0.12371E+03  0.10000E+01
    5.0140   2.4590  17.3871   0.2350   1.1267  0.10582E+03  0.10581E+03  0.84373E-02  0.11506E+03  0.30858E-01  0.31980E+01  0.11183E+03  0.10000E+01
    5.0140   2.4590  17.7561   0.2450   1.1747  0.96320E+02  0.96312E+02  0.82901E-02  0.10418E+03  0.24471E-01  0.27894E+01  0.10136E+03  0.10000E+01
    5.0140   2.4590  18.1178   0.2550   1.2226  0.87889E+02  0.87881E+02  0.80820E-02  0.94557E+02  0.19504E-01  0.24359E+01  0.92102E+02  0.10000E+01
    5.0140   2.4590  18.4727   0.2650   1.2706  0.80395E+02  0.80387E+02  0.79515E-02  0.86036E+02  0.15621E-01  0.21433E+01  0.83877E+02  0.10000E+01
    5.0140   2.4590  18.8212   0.2750   1.3185  0.73619E+02  0.73611E+02  0.78615E-02  0.78379E+02  0.12579E-01  0.18917E+01  0.76475E+02  0.10000E+01
