#Q2	Xb	Zh	Pt	Phi	SigmaB	SigmaOb	Tail1	Taile2	Fact_noex	Fact_ex
1.24393	0.192365	0.221308	0.240172	-172.5	0	0	0	0	0.971009	0.971009
1.24393	0.192365	0.221308	0.240172	-157.5	0	0	0	0	0.975536	0.975536
1.24393	0.192365	0.221308	0.240172	-142.5	0	0	0	0	0.985282	0.985282
1.24393	0.192365	0.221308	0.240172	-127.5	0	0	0	0	0.993681	0.993681
1.24393	0.192365	0.221308	0.240172	-112.5	0	0	0	0	0.993808	0.993808
1.24393	0.192365	0.221308	0.240172	-97.5	0	0	0	0	0.99295	0.99295
1.24393	0.192365	0.221308	0.240172	-82.5	0	0	0	0	0.991085	0.991085
1.24393	0.192365	0.221308	0.240172	-67.5	0	0	0	0	0.990124	0.990124
1.24393	0.192365	0.221308	0.240172	-52.5	0	0	0	0	0.988997	0.988997
1.24393	0.192365	0.221308	0.240172	-37.5	0	0	0	0	0.989047	0.989047
1.24393	0.192365	0.221308	0.240172	-22.5	0	0	0	0	0.988673	0.988673
1.24393	0.192365	0.221308	0.240172	-7.5	0	0	0	0	0.988532	0.988532
1.24393	0.192365	0.221308	0.240172	7.5	0	0	0	0	0.988532	0.988532
1.24393	0.192365	0.221308	0.240172	22.5	0	0	0	0	0.988673	0.988673
1.24393	0.192365	0.221308	0.240172	37.5	0	0	0	0	0.989047	0.989047
1.24393	0.192365	0.221308	0.240172	52.5	0	0	0	0	0.988997	0.988997
1.24393	0.192365	0.221308	0.240172	67.5	0	0	0	0	0.990124	0.990124
1.24393	0.192365	0.221308	0.240172	82.5	0	0	0	0	0.991085	0.991085
1.24393	0.192365	0.221308	0.240172	97.5	0	0	0	0	0.99295	0.99295
1.24393	0.192365	0.221308	0.240172	112.5	0	0	0	0	0.993808	0.993808
1.24393	0.192365	0.221308	0.240172	127.5	0	0	0	0	0.993681	0.993681
1.24393	0.192365	0.221308	0.240172	142.5	0	0	0	0	0.985282	0.985282
1.24393	0.192365	0.221308	0.240172	157.5	0	0	0	0	0.975536	0.975536
1.24393	0.192365	0.221308	0.240172	172.5	0	0	0	0	0.971009	0.971009
1.75685	0.25267	0.2202	0.248965	-172.5	0	0	0	0	0.957961	0.957961
1.75685	0.25267	0.2202	0.248965	-157.5	0	0	0	0	0.961405	0.961405
1.75685	0.25267	0.2202	0.248965	-142.5	0	0	0	0	0.962962	0.962962
1.75685	0.25267	0.2202	0.248965	-127.5	0	0	0	0	0.966541	0.966541
1.75685	0.25267	0.2202	0.248965	-112.5	0	0	0	0	0.966212	0.966212
1.75685	0.25267	0.2202	0.248965	-97.5	0	0	0	0	0.965599	0.965599
1.75685	0.25267	0.2202	0.248965	-82.5	0	0	0	0	0.962807	0.962807
1.75685	0.25267	0.2202	0.248965	-67.5	0	0	0	0	0.962431	0.962431
1.75685	0.25267	0.2202	0.248965	-52.5	0	0	0	0	0.962928	0.962928
1.75685	0.25267	0.2202	0.248965	-37.5	0	0	0	0	0.961617	0.961617
1.75685	0.25267	0.2202	0.248965	-22.5	0	0	0	0	0.960916	0.960916
1.75685	0.25267	0.2202	0.248965	-7.5	0	0	0	0	0.960653	0.960653
1.75685	0.25267	0.2202	0.248965	7.5	0	0	0	0	0.960653	0.960653
1.75685	0.25267	0.2202	0.248965	22.5	0	0	0	0	0.960916	0.960916
1.75685	0.25267	0.2202	0.248965	37.5	0	0	0	0	0.961617	0.961617
1.75685	0.25267	0.2202	0.248965	52.5	0	0	0	0	0.962928	0.962928
1.75685	0.25267	0.2202	0.248965	67.5	0	0	0	0	0.962431	0.962431
1.75685	0.25267	0.2202	0.248965	82.5	0	0	0	0	0.962807	0.962807
1.75685	0.25267	0.2202	0.248965	97.5	0	0	0	0	0.965599	0.965599
1.75685	0.25267	0.2202	0.248965	112.5	0	0	0	0	0.966212	0.966212
1.75685	0.25267	0.2202	0.248965	127.5	0	0	0	0	0.966541	0.966541
1.75685	0.25267	0.2202	0.248965	142.5	0	0	0	0	0.962962	0.962962
1.75685	0.25267	0.2202	0.248965	157.5	0	0	0	0	0.961405	0.961405
1.75685	0.25267	0.2202	0.248965	172.5	0	0	0	0	0.957961	0.957961
1.44864	0.308072	0.228328	0.184991	-172.5	0	0	0	0	0.898647	0.898647
1.44864	0.308072	0.228328	0.184991	-157.5	0	0	0	0	0.900695	0.900695
1.44864	0.308072	0.228328	0.184991	-142.5	0	0	0	0	0.901501	0.901501
1.44864	0.308072	0.228328	0.184991	-127.5	0	0	0	0	0.901484	0.901484
1.44864	0.308072	0.228328	0.184991	-112.5	0	0	0	0	0.901474	0.901474
1.44864	0.308072	0.228328	0.184991	-97.5	0	0	0	0	0.900252	0.900252
1.44864	0.308072	0.228328	0.184991	-82.5	0	0	0	0	0.901269	0.901269
1.44864	0.308072	0.228328	0.184991	-67.5	0	0	0	0	0.920117	0.920117
1.44864	0.308072	0.228328	0.184991	-52.5	0	0	0	0	0.909812	0.909812
1.44864	0.308072	0.228328	0.184991	-37.5	0	0	0	0	0.901219	0.901219
1.44864	0.308072	0.228328	0.184991	-22.5	0	0	0	0	0.897609	0.897609
1.44864	0.308072	0.228328	0.184991	-7.5	0	0	0	0	0.895287	0.895287
1.44864	0.308072	0.228328	0.184991	7.5	0	0	0	0	0.895287	0.895287
1.44864	0.308072	0.228328	0.184991	22.5	0	0	0	0	0.897609	0.897609
1.44864	0.308072	0.228328	0.184991	37.5	0	0	0	0	0.901219	0.901219
1.44864	0.308072	0.228328	0.184991	52.5	0	0	0	0	0.909812	0.909812
1.44864	0.308072	0.228328	0.184991	67.5	0	0	0	0	0.920117	0.920117
