#Q2	Xb	Zh	Pt	Phi	SigmaB	SigmaOb	Tail1	Taile2	Fact_noex	Fact_ex
1.24393	0.192365	0.221308	0.240172	-172.5	0	0	0	0	0.971527	0.971527
1.24393	0.192365	0.221308	0.240172	-157.5	0	0	0	0	0.976276	0.976276
1.24393	0.192365	0.221308	0.240172	-142.5	0	0	0	0	0.986429	0.986429
1.24393	0.192365	0.221308	0.240172	-127.5	0	0	0	0	0.996064	0.996064
1.24393	0.192365	0.221308	0.240172	-112.5	0	0	0	0	0.996171	0.996171
1.24393	0.192365	0.221308	0.240172	-97.5	0	0	0	0	0.995121	0.995121
1.24393	0.192365	0.221308	0.240172	-82.5	0	0	0	0	0.993103	0.993103
1.24393	0.192365	0.221308	0.240172	-67.5	0	0	0	0	0.992025	0.992025
1.24393	0.192365	0.221308	0.240172	-52.5	0	0	0	0	0.990749	0.990749
1.24393	0.192365	0.221308	0.240172	-37.5	0	0	0	0	0.990795	0.990795
1.24393	0.192365	0.221308	0.240172	-22.5	0	0	0	0	0.990422	0.990422
1.24393	0.192365	0.221308	0.240172	-7.5	0	0	0	0	0.990288	0.990288
1.24393	0.192365	0.221308	0.240172	7.5	0	0	0	0	0.990288	0.990288
1.24393	0.192365	0.221308	0.240172	22.5	0	0	0	0	0.990422	0.990422
1.24393	0.192365	0.221308	0.240172	37.5	0	0	0	0	0.990795	0.990795
1.24393	0.192365	0.221308	0.240172	52.5	0	0	0	0	0.990749	0.990749
1.24393	0.192365	0.221308	0.240172	67.5	0	0	0	0	0.992025	0.992025
1.24393	0.192365	0.221308	0.240172	82.5	0	0	0	0	0.993103	0.993103
1.24393	0.192365	0.221308	0.240172	97.5	0	0	0	0	0.995121	0.995121
1.24393	0.192365	0.221308	0.240172	112.5	0	0	0	0	0.996171	0.996171
1.24393	0.192365	0.221308	0.240172	127.5	0	0	0	0	0.996064	0.996064
1.24393	0.192365	0.221308	0.240172	142.5	0	0	0	0	0.986429	0.986429
1.24393	0.192365	0.221308	0.240172	157.5	0	0	0	0	0.976276	0.976276
1.24393	0.192365	0.221308	0.240172	172.5	0	0	0	0	0.971527	0.971527
1.75685	0.25267	0.2202	0.248965	-172.5	0	0	0	0	0.95936	0.95936
1.75685	0.25267	0.2202	0.248965	-157.5	0	0	0	0	0.963147	0.963147
1.75685	0.25267	0.2202	0.248965	-142.5	0	0	0	0	0.964983	0.964983
1.75685	0.25267	0.2202	0.248965	-127.5	0	0	0	0	0.968879	0.968879
1.75685	0.25267	0.2202	0.248965	-112.5	0	0	0	0	0.968632	0.968632
1.75685	0.25267	0.2202	0.248965	-97.5	0	0	0	0	0.967916	0.967916
1.75685	0.25267	0.2202	0.248965	-82.5	0	0	0	0	0.964663	0.964663
1.75685	0.25267	0.2202	0.248965	-67.5	0	0	0	0	0.963884	0.963884
1.75685	0.25267	0.2202	0.248965	-52.5	0	0	0	0	0.963926	0.963926
1.75685	0.25267	0.2202	0.248965	-37.5	0	0	0	0	0.961995	0.961995
1.75685	0.25267	0.2202	0.248965	-22.5	0	0	0	0	0.960896	0.960896
1.75685	0.25267	0.2202	0.248965	-7.5	0	0	0	0	0.960411	0.960411
1.75685	0.25267	0.2202	0.248965	7.5	0	0	0	0	0.960411	0.960411
1.75685	0.25267	0.2202	0.248965	22.5	0	0	0	0	0.960896	0.960896
1.75685	0.25267	0.2202	0.248965	37.5	0	0	0	0	0.961995	0.961995
1.75685	0.25267	0.2202	0.248965	52.5	0	0	0	0	0.963926	0.963926
1.75685	0.25267	0.2202	0.248965	67.5	0	0	0	0	0.963884	0.963884
1.75685	0.25267	0.2202	0.248965	82.5	0	0	0	0	0.964663	0.964663
1.75685	0.25267	0.2202	0.248965	97.5	0	0	0	0	0.967916	0.967916
1.75685	0.25267	0.2202	0.248965	112.5	0	0	0	0	0.968632	0.968632
1.75685	0.25267	0.2202	0.248965	127.5	0	0	0	0	0.968879	0.968879
1.75685	0.25267	0.2202	0.248965	142.5	0	0	0	0	0.964983	0.964983
1.75685	0.25267	0.2202	0.248965	157.5	0	0	0	0	0.963147	0.963147
1.75685	0.25267	0.2202	0.248965	172.5	0	0	0	0	0.95936	0.95936
1.44864	0.308072	0.228328	0.184991	-172.5	0	0	0	0	0.899917	0.899917
1.44864	0.308072	0.228328	0.184991	-157.5	0	0	0	0	0.903436	0.903436
1.44864	0.308072	0.228328	0.184991	-142.5	0	0	0	0	0.905187	0.905187
1.44864	0.308072	0.228328	0.184991	-127.5	0	0	0	0	0.904907	0.904907
1.44864	0.308072	0.228328	0.184991	-112.5	0	0	0	0	0.903976	0.903976
1.44864	0.308072	0.228328	0.184991	-97.5	0	0	0	0	0.901634	0.901634
1.44864	0.308072	0.228328	0.184991	-82.5	0	0	0	0	0.902272	0.902272
1.44864	0.308072	0.228328	0.184991	-67.5	0	0	0	0	0.943856	0.943856
1.44864	0.308072	0.228328	0.184991	-52.5	0	0	0	0	0.932881	0.932881
1.44864	0.308072	0.228328	0.184991	-37.5	0	0	0	0	0.923041	0.923041
1.44864	0.308072	0.228328	0.184991	-22.5	0	0	0	0	0.919647	0.919647
1.44864	0.308072	0.228328	0.184991	-7.5	0	0	0	0	0.91756	0.91756
1.44864	0.308072	0.228328	0.184991	7.5	0	0	0	0	0.91756	0.91756
1.44864	0.308072	0.228328	0.184991	22.5	0	0	0	0	0.919647	0.919647
1.44864	0.308072	0.228328	0.184991	37.5	0	0	0	0	0.923041	0.923041
1.44864	0.308072	0.228328	0.184991	52.5	0	0	0	0	0.932881	0.932881
1.44864	0.308072	0.228328	0.184991	67.5	0	0	0	0	0.943856	0.943856
1.44864	0.308072	0.228328	0.184991	82.5	0	0	0	0	0.902272	0.902272
1.44864	0.308072	0.228328	0.184991	97.5	0	0	0	0	0.901634	0.901634
1.44864	0.308072	0.228328	0.184991	112.5	0	0	0	0	0.903976	0.903976
1.44864	0.308072	0.228328	0.184991	127.5	0	0	0	0	0.904907	0.904907
1.44864	0.308072	0.228328	0.184991	142.5	0	0	0	0	0.905187	0.905187
1.44864	0.308072	0.228328	0.184991	157.5	0	0	0	0	0.903436	0.903436
1.44864	0.308072	0.228328	0.184991	172.5	0	0	0	0	0.899917	0.899917
2.35246	0.365424	0.22232	0.22628	-172.5	0	0	0	0	0.793659	0.793659
2.35246	0.365424	0.22232	0.22628	-157.5	0	0	0	0	0.793452	0.793452
2.35246	0.365424	0.22232	0.22628	-142.5	0	0	0	0	0.792893	0.792893
2.35246	0.365424	0.22232	0.22628	-127.5	0	0	0	0	0.792066	0.792066
2.35246	0.365424	0.22232	0.22628	-112.5	0	0	0	0	0.790974	0.790974
2.35246	0.365424	0.22232	0.22628	-97.5	0	0	0	0	0.789789	0.789789
2.35246	0.365424	0.22232	0.22628	-82.5	0	0	0	0	0.78876	0.78876
2.35246	0.365424	0.22232	0.22628	-67.5	0	0	0	0	0.789319	0.789319
2.35246	0.365424	0.22232	0.22628	-52.5	0	0	0	0	0.788756	0.788756
2.35246	0.365424	0.22232	0.22628	-37.5	0	0	0	0	0.788239	0.788239
2.35246	0.365424	0.22232	0.22628	-22.5	0	0	0	0	0.787939	0.787939
2.35246	0.365424	0.22232	0.22628	-7.5	0	0	0	0	0.787803	0.787803
2.35246	0.365424	0.22232	0.22628	7.5	0	0	0	0	0.787803	0.787803
2.35246	0.365424	0.22232	0.22628	22.5	0	0	0	0	0.787939	0.787939
2.35246	0.365424	0.22232	0.22628	37.5	0	0	0	0	0.788239	0.788239
2.35246	0.365424	0.22232	0.22628	52.5	0	0	0	0	0.788756	0.788756
2.35246	0.365424	0.22232	0.22628	67.5	0	0	0	0	0.789319	0.789319
2.35246	0.365424	0.22232	0.22628	82.5	0	0	0	0	0.78876	0.78876
2.35246	0.365424	0.22232	0.22628	97.5	0	0	0	0	0.789789	0.789789
2.35246	0.365424	0.22232	0.22628	112.5	0	0	0	0	0.790974	0.790974
2.35246	0.365424	0.22232	0.22628	127.5	0	0	0	0	0.792066	0.792066
2.35246	0.365424	0.22232	0.22628	142.5	0	0	0	0	0.792893	0.792893
2.35246	0.365424	0.22232	0.22628	157.5	0	0	0	0	0.793452	0.793452
2.35246	0.365424	0.22232	0.22628	172.5	0	0	0	0	0.793659	0.793659
1.24489	0.198196	0.36508	0.352355	-172.5	0	0	0	0	0.929862	0.929862
1.24489	0.198196	0.36508	0.352355	-157.5	0	0	0	0	0.930624	0.930624
1.24489	0.198196	0.36508	0.352355	-142.5	0	0	0	0	0.931522	0.931522
1.24489	0.198196	0.36508	0.352355	-127.5	0	0	0	0	0.933731	0.933731
1.24489	0.198196	0.36508	0.352355	-112.5	0	0	0	0	0.931884	0.931884
1.24489	0.198196	0.36508	0.352355	-97.5	0	0	0	0	0.930686	0.930686
1.24489	0.198196	0.36508	0.352355	-82.5	0	0	0	0	0.930013	0.930013
1.24489	0.198196	0.36508	0.352355	-67.5	0	0	0	0	0.93189	0.93189
1.24489	0.198196	0.36508	0.352355	-52.5	0	0	0	0	0.932701	0.932701
1.24489	0.198196	0.36508	0.352355	-37.5	0	0	0	0	0.932657	0.932657
1.24489	0.198196	0.36508	0.352355	-22.5	0	0	0	0	0.930341	0.930341
1.24489	0.198196	0.36508	0.352355	-7.5	0	0	0	0	0.927684	0.927684
1.24489	0.198196	0.36508	0.352355	7.5	0	0	0	0	0.927684	0.927684
1.24489	0.198196	0.36508	0.352355	22.5	0	0	0	0	0.930341	0.930341
1.24489	0.198196	0.36508	0.352355	37.5	0	0	0	0	0.932657	0.932657
1.24489	0.198196	0.36508	0.352355	52.5	0	0	0	0	0.932701	0.932701
1.24489	0.198196	0.36508	0.352355	67.5	0	0	0	0	0.93189	0.93189
1.24489	0.198196	0.36508	0.352355	82.5	0	0	0	0	0.930013	0.930013
1.24489	0.198196	0.36508	0.352355	97.5	0	0	0	0	0.930686	0.930686
1.24489	0.198196	0.36508	0.352355	112.5	0	0	0	0	0.931884	0.931884
1.24489	0.198196	0.36508	0.352355	127.5	0	0	0	0	0.933731	0.933731
1.24489	0.198196	0.36508	0.352355	142.5	0	0	0	0	0.931522	0.931522
1.24489	0.198196	0.36508	0.352355	157.5	0	0	0	0	0.930624	0.930624
1.24489	0.198196	0.36508	0.352355	172.5	0	0	0	0	0.929862	0.929862
1.7471	0.254692	0.3642	0.363195	-172.5	0	0	0	0	0.922041	0.922041
1.7471	0.254692	0.3642	0.363195	-157.5	0	0	0	0	0.925439	0.925439
1.7471	0.254692	0.3642	0.363195	-142.5	0	0	0	0	0.927349	0.927349
1.7471	0.254692	0.3642	0.363195	-127.5	0	0	0	0	0.928896	0.928896
1.7471	0.254692	0.3642	0.363195	-112.5	0	0	0	0	0.927504	0.927504
1.7471	0.254692	0.3642	0.363195	-97.5	0	0	0	0	0.92805	0.92805
1.7471	0.254692	0.3642	0.363195	-82.5	0	0	0	0	0.925603	0.925603
1.7471	0.254692	0.3642	0.363195	-67.5	0	0	0	0	0.924185	0.924185
1.7471	0.254692	0.3642	0.363195	-52.5	0	0	0	0	0.912766	0.912766
1.7471	0.254692	0.3642	0.363195	-37.5	0	0	0	0	0.902968	0.902968
1.7471	0.254692	0.3642	0.363195	-22.5	0	0	0	0	0.900291	0.900291
1.7471	0.254692	0.3642	0.363195	-7.5	0	0	0	0	0.899811	0.899811
