#Q2	Xb	Zh	Pt	Phi	SigmaB	SigmaOb	Tail1	Taile2	Fact_noex	Fact_ex
1.24393	0.192365	0.221308	0.240172	-172.5	0	0	0	0	0.971081	0.971081
1.24393	0.192365	0.221308	0.240172	-157.5	0	0	0	0	0.975681	0.975681
1.24393	0.192365	0.221308	0.240172	-142.5	0	0	0	0	0.985651	0.985651
1.24393	0.192365	0.221308	0.240172	-127.5	0	0	0	0	0.994933	0.994933
1.24393	0.192365	0.221308	0.240172	-112.5	0	0	0	0	0.995203	0.995203
1.24393	0.192365	0.221308	0.240172	-97.5	0	0	0	0	0.994344	0.994344
1.24393	0.192365	0.221308	0.240172	-82.5	0	0	0	0	0.992424	0.992424
1.24393	0.192365	0.221308	0.240172	-67.5	0	0	0	0	0.991341	0.991341
1.24393	0.192365	0.221308	0.240172	-52.5	0	0	0	0	0.990017	0.990017
1.24393	0.192365	0.221308	0.240172	-37.5	0	0	0	0	0.989907	0.989907
1.24393	0.192365	0.221308	0.240172	-22.5	0	0	0	0	0.989388	0.989388
1.24393	0.192365	0.221308	0.240172	-7.5	0	0	0	0	0.989165	0.989165
1.24393	0.192365	0.221308	0.240172	7.5	0	0	0	0	0.989165	0.989165
1.24393	0.192365	0.221308	0.240172	22.5	0	0	0	0	0.989388	0.989388
1.24393	0.192365	0.221308	0.240172	37.5	0	0	0	0	0.989907	0.989907
1.24393	0.192365	0.221308	0.240172	52.5	0	0	0	0	0.990017	0.990017
1.24393	0.192365	0.221308	0.240172	67.5	0	0	0	0	0.991341	0.991341
1.24393	0.192365	0.221308	0.240172	82.5	0	0	0	0	0.992424	0.992424
1.24393	0.192365	0.221308	0.240172	97.5	0	0	0	0	0.994344	0.994344
1.24393	0.192365	0.221308	0.240172	112.5	0	0	0	0	0.995203	0.995203
1.24393	0.192365	0.221308	0.240172	127.5	0	0	0	0	0.994933	0.994933
1.24393	0.192365	0.221308	0.240172	142.5	0	0	0	0	0.985651	0.985651
1.24393	0.192365	0.221308	0.240172	157.5	0	0	0	0	0.975681	0.975681
1.24393	0.192365	0.221308	0.240172	172.5	0	0	0	0	0.971081	0.971081
