#Q2	Xb	Zh	Pt	Phi	SigmaB	SigmaOb	Tail1	Taile2	Fact_noex	Fact_ex
1.24393	0.192365	0.221308	0.240172	-172.5	0	0	0	0	0.970831	0.970831
1.24393	0.192365	0.221308	0.240172	-157.5	0	0	0	0	0.975289	0.975289
1.24393	0.192365	0.221308	0.240172	-142.5	0	0	0	0	0.984751	0.984751
1.24393	0.192365	0.221308	0.240172	-127.5	0	0	0	0	0.99267	0.99267
1.24393	0.192365	0.221308	0.240172	-112.5	0	0	0	0	0.992583	0.992583
1.24393	0.192365	0.221308	0.240172	-97.5	0	0	0	0	0.991609	0.991609
1.24393	0.192365	0.221308	0.240172	-82.5	0	0	0	0	0.989747	0.989747
1.24393	0.192365	0.221308	0.240172	-67.5	0	0	0	0	0.988833	0.988833
1.24393	0.192365	0.221308	0.240172	-52.5	0	0	0	0	0.987884	0.987884
1.24393	0.192365	0.221308	0.240172	-37.5	0	0	0	0	0.988079	0.988079
1.24393	0.192365	0.221308	0.240172	-22.5	0	0	0	0	0.98786	0.98786
1.24393	0.192365	0.221308	0.240172	-7.5	0	0	0	0	0.987814	0.987814
1.24393	0.192365	0.221308	0.240172	7.5	0	0	0	0	0.987814	0.987814
1.24393	0.192365	0.221308	0.240172	22.5	0	0	0	0	0.98786	0.98786
1.24393	0.192365	0.221308	0.240172	37.5	0	0	0	0	0.988079	0.988079
1.24393	0.192365	0.221308	0.240172	52.5	0	0	0	0	0.987884	0.987884
1.24393	0.192365	0.221308	0.240172	67.5	0	0	0	0	0.988833	0.988833
1.24393	0.192365	0.221308	0.240172	82.5	0	0	0	0	0.989747	0.989747
1.24393	0.192365	0.221308	0.240172	97.5	0	0	0	0	0.991609	0.991609
1.24393	0.192365	0.221308	0.240172	112.5	0	0	0	0	0.992583	0.992583
1.24393	0.192365	0.221308	0.240172	127.5	0	0	0	0	0.99267	0.99267
1.24393	0.192365	0.221308	0.240172	142.5	0	0	0	0	0.984751	0.984751
1.24393	0.192365	0.221308	0.240172	157.5	0	0	0	0	0.975289	0.975289
1.24393	0.192365	0.221308	0.240172	172.5	0	0	0	0	0.970831	0.970831
1.75685	0.25267	0.2202	0.248965	-172.5	0	0	0	0	0.958883	0.958883
1.75685	0.25267	0.2202	0.248965	-157.5	0	0	0	0	0.961793	0.961793
1.75685	0.25267	0.2202	0.248965	-142.5	0	0	0	0	0.962542	0.962542
1.75685	0.25267	0.2202	0.248965	-127.5	0	0	0	0	0.965246	0.965246
1.75685	0.25267	0.2202	0.248965	-112.5	0	0	0	0	0.964328	0.964328
1.75685	0.25267	0.2202	0.248965	-97.5	0	0	0	0	0.963276	0.963276
1.75685	0.25267	0.2202	0.248965	-82.5	0	0	0	0	0.960505	0.960505
1.75685	0.25267	0.2202	0.248965	-67.5	0	0	0	0	0.960119	0.960119
1.75685	0.25267	0.2202	0.248965	-52.5	0	0	0	0	0.960775	0.960775
1.75685	0.25267	0.2202	0.248965	-37.5	0	0	0	0	0.959728	0.959728
1.75685	0.25267	0.2202	0.248965	-22.5	0	0	0	0	0.959221	0.959221
1.75685	0.25267	0.2202	0.248965	-7.5	0	0	0	0	0.959069	0.959069
1.75685	0.25267	0.2202	0.248965	7.5	0	0	0	0	0.959069	0.959069
1.75685	0.25267	0.2202	0.248965	22.5	0	0	0	0	0.959221	0.959221
1.75685	0.25267	0.2202	0.248965	37.5	0	0	0	0	0.959728	0.959728
1.75685	0.25267	0.2202	0.248965	52.5	0	0	0	0	0.960775	0.960775
1.75685	0.25267	0.2202	0.248965	67.5	0	0	0	0	0.960119	0.960119
1.75685	0.25267	0.2202	0.248965	82.5	0	0	0	0	0.960505	0.960505
1.75685	0.25267	0.2202	0.248965	97.5	0	0	0	0	0.963276	0.963276
1.75685	0.25267	0.2202	0.248965	112.5	0	0	0	0	0.964328	0.964328
1.75685	0.25267	0.2202	0.248965	127.5	0	0	0	0	0.965246	0.965246
1.75685	0.25267	0.2202	0.248965	142.5	0	0	0	0	0.962542	0.962542
1.75685	0.25267	0.2202	0.248965	157.5	0	0	0	0	0.961793	0.961793
1.75685	0.25267	0.2202	0.248965	172.5	0	0	0	0	0.958883	0.958883
1.44864	0.308072	0.228328	0.184991	-172.5	0	0	0	0	0.898263	0.898263
1.44864	0.308072	0.228328	0.184991	-157.5	0	0	0	0	0.898521	0.898521
1.44864	0.308072	0.228328	0.184991	-142.5	0	0	0	0	0.897342	0.897342
1.44864	0.308072	0.228328	0.184991	-127.5	0	0	0	0	0.897401	0.897401
1.44864	0.308072	0.228328	0.184991	-112.5	0	0	0	0	0.900785	0.900785
1.44864	0.308072	0.228328	0.184991	-97.5	0	0	0	0	0.9045	0.9045
1.44864	0.308072	0.228328	0.184991	-82.5	0	0	0	0	0.908628	0.908628
1.44864	0.308072	0.228328	0.184991	-67.5	0	0	0	0	0.92567	0.92567
1.44864	0.308072	0.228328	0.184991	-52.5	0	0	0	0	0.907437	0.907437
1.44864	0.308072	0.228328	0.184991	-37.5	0	0	0	0	0.893554	0.893554
1.44864	0.308072	0.228328	0.184991	-22.5	0	0	0	0	0.88636	0.88636
1.44864	0.308072	0.228328	0.184991	-7.5	0	0	0	0	0.88228	0.88228
1.44864	0.308072	0.228328	0.184991	7.5	0	0	0	0	0.88228	0.88228
1.44864	0.308072	0.228328	0.184991	22.5	0	0	0	0	0.88636	0.88636
1.44864	0.308072	0.228328	0.184991	37.5	0	0	0	0	0.893554	0.893554
1.44864	0.308072	0.228328	0.184991	52.5	0	0	0	0	0.907437	0.907437
1.44864	0.308072	0.228328	0.184991	67.5	0	0	0	0	0.92567	0.92567
1.44864	0.308072	0.228328	0.184991	82.5	0	0	0	0	0.908628	0.908628
1.44864	0.308072	0.228328	0.184991	97.5	0	0	0	0	0.9045	0.9045
1.44864	0.308072	0.228328	0.184991	112.5	0	0	0	0	0.900785	0.900785
1.44864	0.308072	0.228328	0.184991	127.5	0	0	0	0	0.897401	0.897401
1.44864	0.308072	0.228328	0.184991	142.5	0	0	0	0	0.897342	0.897342
1.44864	0.308072	0.228328	0.184991	157.5	0	0	0	0	0.898521	0.898521
1.44864	0.308072	0.228328	0.184991	172.5	0	0	0	0	0.898263	0.898263
2.35246	0.365424	0.22232	0.22628	-172.5	0	0	0	0	0.793442	0.793442
2.35246	0.365424	0.22232	0.22628	-157.5	0	0	0	0	0.793252	0.793252
2.35246	0.365424	0.22232	0.22628	-142.5	0	0	0	0	0.792725	0.792725
2.35246	0.365424	0.22232	0.22628	-127.5	0	0	0	0	0.79194	0.79194
2.35246	0.365424	0.22232	0.22628	-112.5	0	0	0	0	0.790891	0.790891
2.35246	0.365424	0.22232	0.22628	-97.5	0	0	0	0	0.789743	0.789743
2.35246	0.365424	0.22232	0.22628	-82.5	0	0	0	0	0.788744	0.788744
2.35246	0.365424	0.22232	0.22628	-67.5	0	0	0	0	0.789324	0.789324
2.35246	0.365424	0.22232	0.22628	-52.5	0	0	0	0	0.788774	0.788774
2.35246	0.365424	0.22232	0.22628	-37.5	0	0	0	0	0.788264	0.788264
2.35246	0.365424	0.22232	0.22628	-22.5	0	0	0	0	0.787967	0.787967
2.35246	0.365424	0.22232	0.22628	-7.5	0	0	0	0	0.787831	0.787831
2.35246	0.365424	0.22232	0.22628	7.5	0	0	0	0	0.787831	0.787831
2.35246	0.365424	0.22232	0.22628	22.5	0	0	0	0	0.787967	0.787967
2.35246	0.365424	0.22232	0.22628	37.5	0	0	0	0	0.788264	0.788264
2.35246	0.365424	0.22232	0.22628	52.5	0	0	0	0	0.788774	0.788774
2.35246	0.365424	0.22232	0.22628	67.5	0	0	0	0	0.789324	0.789324
2.35246	0.365424	0.22232	0.22628	82.5	0	0	0	0	0.788744	0.788744
2.35246	0.365424	0.22232	0.22628	97.5	0	0	0	0	0.789743	0.789743
2.35246	0.365424	0.22232	0.22628	112.5	0	0	0	0	0.790891	0.790891
2.35246	0.365424	0.22232	0.22628	127.5	0	0	0	0	0.79194	0.79194
2.35246	0.365424	0.22232	0.22628	142.5	0	0	0	0	0.792725	0.792725
2.35246	0.365424	0.22232	0.22628	157.5	0	0	0	0	0.793252	0.793252
2.35246	0.365424	0.22232	0.22628	172.5	0	0	0	0	0.793442	0.793442
1.24489	0.198196	0.36508	0.352355	-172.5	0	0	0	0	0.929261	0.929261
1.24489	0.198196	0.36508	0.352355	-157.5	0	0	0	0	0.929705	0.929705
1.24489	0.198196	0.36508	0.352355	-142.5	0	0	0	0	0.930404	0.930404
1.24489	0.198196	0.36508	0.352355	-127.5	0	0	0	0	0.932672	0.932672
1.24489	0.198196	0.36508	0.352355	-112.5	0	0	0	0	0.931106	0.931106
1.24489	0.198196	0.36508	0.352355	-97.5	0	0	0	0	0.930198	0.930198
1.24489	0.198196	0.36508	0.352355	-82.5	0	0	0	0	0.929744	0.929744
1.24489	0.198196	0.36508	0.352355	-67.5	0	0	0	0	0.931654	0.931654
1.24489	0.198196	0.36508	0.352355	-52.5	0	0	0	0	0.932314	0.932314
1.24489	0.198196	0.36508	0.352355	-37.5	0	0	0	0	0.932236	0.932236
1.24489	0.198196	0.36508	0.352355	-22.5	0	0	0	0	0.929846	0.929846
1.24489	0.198196	0.36508	0.352355	-7.5	0	0	0	0	0.927167	0.927167
1.24489	0.198196	0.36508	0.352355	7.5	0	0	0	0	0.927167	0.927167
1.24489	0.198196	0.36508	0.352355	22.5	0	0	0	0	0.929846	0.929846
1.24489	0.198196	0.36508	0.352355	37.5	0	0	0	0	0.932236	0.932236
1.24489	0.198196	0.36508	0.352355	52.5	0	0	0	0	0.932314	0.932314
1.24489	0.198196	0.36508	0.352355	67.5	0	0	0	0	0.931654	0.931654
1.24489	0.198196	0.36508	0.352355	82.5	0	0	0	0	0.929744	0.929744
1.24489	0.198196	0.36508	0.352355	97.5	0	0	0	0	0.930198	0.930198
1.24489	0.198196	0.36508	0.352355	112.5	0	0	0	0	0.931106	0.931106
1.24489	0.198196	0.36508	0.352355	127.5	0	0	0	0	0.932672	0.932672
1.24489	0.198196	0.36508	0.352355	142.5	0	0	0	0	0.930404	0.930404
1.24489	0.198196	0.36508	0.352355	157.5	0	0	0	0	0.929705	0.929705
1.24489	0.198196	0.36508	0.352355	172.5	0	0	0	0	0.929261	0.929261
1.7471	0.254692	0.3642	0.363195	-172.5	0	0	0	0	0.917569	0.917569
