
*********** Orsosa Home ROOT session ********
*********** root version 6.12/04 *************


Processing get_vzCut_list.cxx...
C sector: 0
x[0]=-25.9303, y[0]=0.3325
x[1]=-25.8743, y[1]=0.3975
x[2]=-25.7705, y[2]=0.4625
x[3]=-25.7377, y[3]=0.5275
x[4]=-25.6717, y[4]=0.5925
x[5]=-25.6191, y[5]=0.6575
x[6]=-25.6075, y[6]=0.7225
x[7]=-25.4261, y[7]=0.7875
x[8]=-25.3646, y[8]=0.8525
x[9]=-25.3313, y[9]=0.9175
C sector: 1
x[0]=-25.0483, y[0]=0.3325
x[1]=-25.0911, y[1]=0.3975
x[2]=-25.1113, y[2]=0.4625
x[3]=-25.1781, y[3]=0.5275
x[4]=-25.1781, y[4]=0.5925
x[5]=-25.1377, y[5]=0.6575
x[6]=-25.1343, y[6]=0.7225
x[7]=-25.0948, y[7]=0.7875
x[8]=-25.1094, y[8]=0.8525
x[9]=-25.1925, y[9]=0.9175
C sector: 2
x[0]=-24.9136, y[0]=0.3325
x[1]=-25.0398, y[1]=0.3975
x[2]=-25.053, y[2]=0.4625
x[3]=-25.1302, y[3]=0.5275
x[4]=-25.0465, y[4]=0.5925
x[5]=-25.0695, y[5]=0.6575
x[6]=-25.0292, y[6]=0.7225
x[7]=-25.0106, y[7]=0.7875
x[8]=-25.0745, y[8]=0.8525
x[9]=-25.1547, y[9]=0.9175
C sector: 3
x[0]=-25.4907, y[0]=0.3325
x[1]=-25.4619, y[1]=0.3975
x[2]=-25.4337, y[2]=0.4625
x[3]=-25.4431, y[3]=0.5275
x[4]=-25.3954, y[4]=0.5925
x[5]=-25.3704, y[5]=0.6575
x[6]=-25.3241, y[6]=0.7225
x[7]=-25.2713, y[7]=0.7875
x[8]=-25.2645, y[8]=0.8525
x[9]=-25.4297, y[9]=0.9175
C sector: 4
x[0]=-26.2623, y[0]=0.3325
x[1]=-26.162, y[1]=0.3975
x[2]=-26.0404, y[2]=0.4625
x[3]=-26.0168, y[3]=0.5275
x[4]=-25.828, y[4]=0.5925
x[5]=-25.71, y[5]=0.6575
x[6]=-25.658, y[6]=0.7225
x[7]=-25.5502, y[7]=0.7875
x[8]=-25.489, y[8]=0.8525
x[9]=-25.5201, y[9]=0.9175
C sector: 5
x[0]=-26.8161, y[0]=0.3325
x[1]=-26.8114, y[1]=0.3975
x[2]=-26.3095, y[2]=0.4625
x[3]=-26.1739, y[3]=0.5275
x[4]=-25.9963, y[4]=0.5925
x[5]=-25.848, y[5]=0.6575
x[6]=-25.7475, y[6]=0.7225
x[7]=-25.6618, y[7]=0.7875
x[8]=-25.6191, y[8]=0.8525
x[9]=-25.7141, y[9]=0.9175
Fe sector: 0
x[0]=-26.242, y[0]=0.3325
x[1]=-26.1749, y[1]=0.3975
x[2]=-26.0634, y[2]=0.4625
x[3]=-26.006, y[3]=0.5275
x[4]=-25.9183, y[4]=0.5925
x[5]=-25.872, y[5]=0.6575
x[6]=-25.859, y[6]=0.7225
x[7]=-25.6744, y[7]=0.7875
x[8]=-25.6031, y[8]=0.8525
x[9]=-25.675, y[9]=0.9175
Fe sector: 1
x[0]=-25.3473, y[0]=0.3325
x[1]=-25.3883, y[1]=0.3975
x[2]=-25.3956, y[2]=0.4625
x[3]=-25.4412, y[3]=0.5275
x[4]=-25.4408, y[4]=0.5925
x[5]=-25.483, y[5]=0.6575
x[6]=-25.527, y[6]=0.7225
x[7]=-25.3317, y[7]=0.7875
x[8]=-25.348, y[8]=0.8525
x[9]=-25.4572, y[9]=0.9175
Fe sector: 2
x[0]=-25.0628, y[0]=0.3325
x[1]=-25.2092, y[1]=0.3975
x[2]=-25.2355, y[2]=0.4625
x[3]=-25.3154, y[3]=0.5275
x[4]=-25.2359, y[4]=0.5925
x[5]=-25.2669, y[5]=0.6575
x[6]=-25.2333, y[6]=0.7225
x[7]=-25.217, y[7]=0.7875
x[8]=-25.2662, y[8]=0.8525
x[9]=-25.4116, y[9]=0.9175
Fe sector: 3
x[0]=-25.6131, y[0]=0.3325
x[1]=-25.6088, y[1]=0.3975
x[2]=-25.591, y[2]=0.4625
x[3]=-25.5974, y[3]=0.5275
x[4]=-25.5553, y[4]=0.5925
x[5]=-25.5403, y[5]=0.6575
x[6]=-25.4938, y[6]=0.7225
x[7]=-25.4624, y[7]=0.7875
x[8]=-25.4501, y[8]=0.8525
x[9]=-25.6198, y[9]=0.9175
Fe sector: 4
x[0]=-26.428, y[0]=0.3325
x[1]=-26.3296, y[1]=0.3975
x[2]=-26.2122, y[2]=0.4625
x[3]=-26.2089, y[3]=0.5275
x[4]=-26.0166, y[4]=0.5925
x[5]=-25.904, y[5]=0.6575
x[6]=-25.8408, y[6]=0.7225
x[7]=-25.7583, y[7]=0.7875
x[8]=-25.6785, y[8]=0.8525
x[9]=-25.6817, y[9]=0.9175
Fe sector: 5
x[0]=-26.995, y[0]=0.3325
x[1]=-27.0115, y[1]=0.3975
x[2]=-26.5089, y[2]=0.4625
x[3]=-26.3705, y[3]=0.5275
x[4]=-26.2034, y[4]=0.5925
x[5]=-26.0544, y[5]=0.6575
x[6]=-25.9614, y[6]=0.7225
x[7]=-25.8631, y[7]=0.7875
x[8]=-25.8363, y[8]=0.8525
x[9]=-25.8982, y[9]=0.9175
Pb sector: 0
x[0]=-26.1226, y[0]=0.3325
x[1]=-26.066, y[1]=0.3975
x[2]=-25.9712, y[2]=0.4625
x[3]=-25.9408, y[3]=0.5275
x[4]=-25.8803, y[4]=0.5925
x[5]=-25.8307, y[5]=0.6575
x[6]=-25.8205, y[6]=0.7225
x[7]=-25.6383, y[7]=0.7875
x[8]=-25.5686, y[8]=0.8525
x[9]=-25.6721, y[9]=0.9175
Pb sector: 1
x[0]=-25.2222, y[0]=0.3325
x[1]=-25.2796, y[1]=0.3975
x[2]=-25.3072, y[2]=0.4625
x[3]=-25.3739, y[3]=0.5275
x[4]=-25.3881, y[4]=0.5925
x[5]=-25.343, y[5]=0.6575
x[6]=-25.3381, y[6]=0.7225
x[7]=-25.3038, y[7]=0.7875
x[8]=-25.3272, y[8]=0.8525
x[9]=-25.3583, y[9]=0.9175
Pb sector: 2
x[0]=-25.0634, y[0]=0.3325
x[1]=-25.2095, y[1]=0.3975
x[2]=-25.2343, y[2]=0.4625
x[3]=-25.3231, y[3]=0.5275
x[4]=-25.2445, y[4]=0.5925
x[5]=-25.2633, y[5]=0.6575
x[6]=-25.252, y[6]=0.7225
x[7]=-25.2147, y[7]=0.7875
x[8]=-25.2617, y[8]=0.8525
x[9]=-25.3603, y[9]=0.9175
Pb sector: 3
x[0]=-25.6446, y[0]=0.3325
x[1]=-25.6368, y[1]=0.3975
x[2]=-25.6087, y[2]=0.4625
x[3]=-25.625, y[3]=0.5275
x[4]=-25.5899, y[4]=0.5925
x[5]=-25.5658, y[5]=0.6575
x[6]=-25.5212, y[6]=0.7225
x[7]=-25.4812, y[7]=0.7875
x[8]=-25.4583, y[8]=0.8525
x[9]=-25.536, y[9]=0.9175
Pb sector: 4
x[0]=-26.5142, y[0]=0.3325
x[1]=-26.3914, y[1]=0.3975
x[2]=-26.2693, y[2]=0.4625
x[3]=-26.2755, y[3]=0.5275
x[4]=-26.0639, y[4]=0.5925
x[5]=-25.9492, y[5]=0.6575
x[6]=-25.8862, y[6]=0.7225
x[7]=-25.8024, y[7]=0.7875
x[8]=-25.7244, y[8]=0.8525
x[9]=-25.7392, y[9]=0.9175
Pb sector: 5
x[0]=-27.052, y[0]=0.3325
x[1]=-27.053, y[1]=0.3975
x[2]=-26.549, y[2]=0.4625
x[3]=-26.4052, y[3]=0.5275
x[4]=-26.2335, y[4]=0.5925
x[5]=-26.079, y[5]=0.6575
x[6]=-25.9784, y[6]=0.7225
x[7]=-25.8869, y[7]=0.7875
x[8]=-25.8419, y[8]=0.8525
x[9]=-25.8656, y[9]=0.9175
